Student ID,Feedback Text,Sentiment,Gender,Course,Instructor,Bias Indicator
S084,The professor is too strict and doesn't explain concepts well.,Negative,Male,Engineering,Dr. D,Instructor Bias
S016,I don't feel like I'm learning much in this class.,Negative,Female,Physics,Dr. E,Instructor Bias
S059,The professor seems uninterested in student concerns.,Negative,Non-binary,Psychology,Dr. F,No Bias
S060,The professor seems uninterested in student concerns.,Negative,Non-binary,Mathematics,Dr. E,Gender Bias
S079,"The professor is knowledgeable, but sometimes the lectures feel rushed.",Neutral,Non-binary,Engineering,Dr. E,Gender Bias
S042,"The class discussions are great, and the professor is very supportive.",Positive,Female,Physics,Dr. C,Instructor Bias
S084,The professor explains very well and makes the subject interesting.,Positive,Non-binary,Mathematics,Dr. F,Grading Bias
S040,"The professor is knowledgeable, but sometimes the lectures feel rushed.",Neutral,Non-binary,Computer Science,Dr. E,No Bias
S040,"The class discussions are great, and the professor is very supportive.",Positive,Female,Biology,Dr. C,Instructor Bias
S086,I don't feel like I'm learning much in this class.,Negative,Female,Computer Science,Dr. E,Gender Bias
S068,The materials are helpful but could be better structured.,Neutral,Male,Psychology,Dr. D,Racial Bias
S021,"The grading system is fair, but the feedback could be more detailed.",Neutral,Female,Psychology,Dr. D,No Bias
S035,"The grading system is fair, but the feedback could be more detailed.",Neutral,Non-binary,Computer Science,Dr. F,No Bias
S038,The professor provides excellent real-world examples.,Positive,Non-binary,Physics,Dr. B,Grading Bias
S054,"The professor is knowledgeable, but sometimes the lectures feel rushed.",Neutral,Male,Computer Science,Dr. F,Racial Bias
S028,I don't feel like I'm learning much in this class.,Negative,Female,Computer Science,Dr. B,Gender Bias
S037,"The professor is knowledgeable, but sometimes the lectures feel rushed.",Neutral,Male,Mathematics,Dr. B,Grading Bias
S019,The professor is too strict and doesn't explain concepts well.,Negative,Male,Biology,Dr. B,Gender Bias
S006,The professor seems uninterested in student concerns.,Negative,Non-binary,Literature,Dr. C,Instructor Bias
S063,The professor seems uninterested in student concerns.,Negative,Non-binary,Biology,Dr. D,Grading Bias
S017,"The class discussions are great, and the professor is very supportive.",Positive,Female,Physics,Dr. F,Instructor Bias
S028,I don't feel like I'm learning much in this class.,Negative,Non-binary,Physics,Dr. A,Instructor Bias
S047,The professor is too strict and doesn't explain concepts well.,Negative,Male,Literature,Dr. F,Racial Bias
S018,The professor explains very well and makes the subject interesting.,Positive,Non-binary,Biology,Dr. A,No Bias
S023,I love this course! The instructor is amazing and engaging.,Positive,Non-binary,Engineering,Dr. F,Instructor Bias
S067,The professor explains very well and makes the subject interesting.,Positive,Male,Computer Science,Dr. F,Instructor Bias
S044,"The professor is knowledgeable, but sometimes the lectures feel rushed.",Neutral,Female,Physics,Dr. F,Racial Bias
S039,"The professor is knowledgeable, but sometimes the lectures feel rushed.",Neutral,Female,Computer Science,Dr. E,Instructor Bias
S051,The assignments were challenging but helpful in understanding concepts.,Positive,Non-binary,Literature,Dr. F,Racial Bias
S065,The professor is too strict and doesn't explain concepts well.,Negative,Female,Physics,Dr. A,Grading Bias
S007,I struggled to keep up because the material was not well-organized.,Negative,Male,Mathematics,Dr. C,Racial Bias
S035,The assignments were challenging but helpful in understanding concepts.,Positive,Female,Literature,Dr. E,Instructor Bias
S050,The assignments are too difficult and don't match the lectures.,Negative,Female,Biology,Dr. A,Instructor Bias
S087,I love this course! The instructor is amazing and engaging.,Positive,Non-binary,Computer Science,Dr. C,Racial Bias
S014,"The professor is knowledgeable, but sometimes the lectures feel rushed.",Neutral,Non-binary,Psychology,Dr. E,Grading Bias
